stationId,stationName,parkingQRBikeCnt,parkingELECBikeCnt,stationLongitude,stationLatitude,parkingTotBikeCnt,goo,dong
ST-340,182. 망원2빗물펌프장 앞,0,0,126.90306091,37.5513649,0,마포구,망원1동
ST-341,183. 하늘채코오롱아파트 건너편,2,5,126.91932678,37.56538773,7,마포구,연남동
ST-342,184. 7번가피자 서교망원점,9,5,126.90775299,37.55894852,14,마포구,성산1동
ST-343,185. 마포 신수공원 앞,0,0,126.93429565,37.54254532,0,마포구,신수동
ST-344,186. 월드컵공원,10,9,126.89820862,37.56396484,19,마포구,성산2동
ST-346,188. 홍은동 정원여중 입구,8,1,126.93512726,37.58638763,9,서대문구,홍은2동
ST-347,191. 서우빌딩,9,5,126.91073608,37.57889175,14,서대문구,북가좌2동
ST-348,192. 연서어린이공원,0,2,126.92306519,37.57222748,2,서대문구,연희동
ST-350,194. 증산교 앞,3,1,126.90296936,37.57731628,4,서대문구,북가좌1동
ST-351,195. 모래내고가차도 ,2,0,126.91780853,37.56765747,2,서대문구,연희동
ST-352,196. 연희교차로 인근,0,0,126.92589569,37.56612015,0,서대문구,연희동
ST-354,198. 충정2교,0,0,126.96377563,37.5621376,0,서대문구,충현동
ST-443,199. 서울 월드컵 경기장,6,5,126.89644623,37.56684494,11,마포구,성산2동
ST-45,200. 국회의원회관,3,0,126.91391754,37.52841568,3,영등포구,여의동
ST-46,201. 진미파라곤 앞,24,0,126.92133331,37.53123856,24,영등포구,여의동
ST-47,202. 국민일보 앞,113,13,126.92453003,37.52881622,126,영등포구,여의동
ST-51,203. 국회의사당역 3번출구 옆,26,0,126.91870117,37.5280571,26,영등포구,여의동
ST-50,204. 국회의사당역 5번출구 옆,14,1,126.91702271,37.52816391,15,영등포구,여의동
ST-52,205. 산업은행 앞,47,2,126.92050934,37.52626419,49,영등포구,여의동
ST-53,206. KBS 앞,49,0,126.91802216,37.52466583,49,영등포구,여의동
ST-73,207. 여의나루역 1번출구 앞,10,1,126.93190002,37.52715683,11,영등포구,여의동
ST-55,209. 유진투자증권빌딩 앞,42,0,126.92783356,37.52461243,42,영등포구,여의동
ST-59,213. KT앞,20,3,126.91895294,37.52190781,23,영등포구,여의동
ST-60,214. 금융감독원 앞,54,4,126.9208374,37.5230217,58,영등포구,여의동
ST-64,215. 여의도고교 앞,2,3,126.93490601,37.52483749,5,영등포구,여의동
ST-66,217. NH농협은행 앞,95,2,126.93036652,37.52207947,97,영등포구,여의동
ST-62,219. 롯데캐슬엠파이어 옆,28,0,126.92583466,37.52069473,28,영등포구,여의동
ST-63,220. 미성아파트 A동 앞,4,0,126.92604828,37.5193634,4,영등포구,여의동
ST-67,221. 여의도초교 앞,0,0,126.93778992,37.52267456,0,영등포구,여의동
ST-68,222. 시범아파트버스정류장 옆,23,4,126.93688965,37.51902008,27,영등포구,여의동
ST-69,223. 진주아파트상가 앞,14,1,126.9333725,37.51913071,15,영등포구,여의동
ST-70,224. 롯데캐슬 앞,0,0,126.93236542,37.5200882,0,영등포구,여의동
ST-71,225. 앙카라공원 앞,4,1,126.92961884,37.51758575,5,영등포구,여의동
ST-72,226. 샛강역 1번출구 앞,7,3,126.92841339,37.51776505,10,영등포구,여의동
ST-277,227. 양평2나들목 보행통로 입구,8,1,126.88835907,37.54466629,9,영등포구,양평2동
ST-278,228. 선유도역 3번출구 앞,16,6,126.89450836,37.53845978,22,영등포구,양평2동
ST-279,229. 양평1 보행육교 앞,52,9,126.8921814,37.53587341,61,영등포구,양평2동
ST-413,230. 영등포구청역 1번출구,12,1,126.89621735,37.52463531,13,영등포구,당산1동
ST-280,231. 남부고용노동지청 남측,18,1,126.89182281,37.52450562,19,영등포구,양평1동
ST-281,232. 양평우림 이비즈센타 앞,14,3,126.88781738,37.52565002,17,영등포구,양평1동
ST-282,233. 양평1동 YP센터 앞,25,0,126.89164734,37.52848816,25,영등포구,양평1동
ST-284,235. 신길동 우리은행 옆,1,1,126.91023254,37.50456619,2,영등포구,신길3동
ST-285,236. 문래동자이아파트 앞,10,0,126.89461517,37.51615524,10,영등포구,문래동
ST-286,237. 보라매 두산위브 건너편,2,0,126.91480255,37.49651337,2,동작구,신대방2동
ST-287,238. 제2구민체육센타 앞,3,1,126.90275574,37.52638626,4,영등포구,당산1동
ST-288,239. 유스호스텔 앞,8,5,126.90328217,37.5258522,13,영등포구,영등포동
ST-289,240. 문래역 4번출구 앞,9,0,126.89557648,37.51873779,9,영등포구,문래동
ST-290,241. 신길우성1차아파트 앞 공원,0,0,126.89853668,37.50501633,0,영등포구,도림동
ST-291,242. 신길선원가와인아파트 앞,0,0,126.91022491,37.51093292,0,영등포구,도림동
ST-292,243. 이앤씨드림타워 앞,26,2,126.89138031,37.52708435,28,영등포구,양평1동
ST-293,244. 영등포삼환아파트 앞,1,0,126.90570831,37.53007889,1,영등포구,영등포동
ST-294,245. 삼성생명 당산사옥 앞,13,3,126.89662933,37.52826309,16,영등포구,당산2동
ST-295,247. 당산역 10번출구 앞,20,4,126.90223694,37.53342056,24,영등포구,당산2동
ST-296,248. 초원아파트 앞,9,1,126.92420959,37.53105545,10,영등포구,여의동
ST-297,249. 여의도중학교 옆,5,0,126.93611908,37.52434921,5,영등포구,여의동
ST-298,250. 대림아파트 사거리,0,0,126.92308044,37.50764084,0,영등포구,신길7동
ST-299,251. 서울지방병무청 버스정류장,1,0,126.92195129,37.50449371,1,영등포구,신길7동
